区画,店名,業種
3,モスバーガー 大阪駅前第2ビル店,洋食
4,コーヒー＆バー パイルドライバー,喫茶
6-2,チャーシューエッグ ポルコ食堂 ビールとはいぼーる,定食
7-1,水産卸売直営酒処 花神 2ビル市場,海鮮
7-2,半立ちダイニングバー MIYA,バー
11,立ち呑み みねこ,立ち飲み
12-2,横浜家系ラーメン 梅田屋,ラーメン
18,串カツ でんがな,串カツ
19-1-2,立呑み 梅田 パープル,立ち飲み
19-2,つけ麺 紋次郎,ラーメン
20-1,ジョニーのからあげ 大阪駅前第2ビル店,居酒屋
21,すし酒場 さしす,寿司
22,天神大ホール 第2ビル店,居酒屋
23-1,立呑み処 七津屋,立ち飲み
25-1,アリラン（韓国家庭料理）,その他
25-2,熊本馬刺鶏料理の遊食家 アズバード,居酒屋
26,豚々亭,居酒屋
27-1,2ビルのいしもん,居酒屋
27-2,ワイン＆洋風お好み焼き アベロ食堂,お好み焼き・粉もん
28-1,焼鳥 牛たん どんたく,焼鳥
28-2,にしき,居酒屋
29,ちるり 盛岡冷麺・タンしゃぶ,焼肉・ホルモン
31,大衆すし 謹賀,寿司
32-2,WCB UMEDA1,バー
33,お立呑み処 たよし 大阪駅前第2ビル店,立ち飲み
34-2,コーヒーハウス イフ,喫茶
35-1,大衆居酒屋 黒たぬき,居酒屋
35-4,肉屋の串カツ 丸力 大阪駅前第2ビル店,串カツ
36,磯丸水産 大阪駅前第2ビル店,海鮮
37,大阪駅前第2ビルB2 応援団 勝男,居酒屋
40,餃子の王将,中華
41,立ち呑み まさ 梅田店,立ち飲み
42-1,Caffe*MINIMO,喫茶
42-2,うどん・そば 麺2,そば・うどん
43,居食や きんやま,居酒屋
45,居酒屋 柚,居酒屋
46,JAZZ&BAR ホワッツ・ニュー,バー
47-1,Little Bar リトルバー,バー
47-2,居酒屋 平田,居酒屋
48-1,ビリヤニHUB,カレー
48-2,タチノミエイト 第2ビル店,立ち飲み
49,大衆居酒屋 よっとこ,居酒屋
50-2,オットモンテ,居酒屋
50-3,らーめん やまちゃん,ラーメン
51-1,焼鳥 にのや,焼鳥
51-2,ちゃんこ居酒屋 太一山,居酒屋
52-1,麺屋7.5Hz+ 梅田店,ラーメン
52-2,ドリンクステーション 2ビルB2東店,立ち飲み
54,喫茶 ジャマイカ,喫茶
59,SAKE and FOOD ボクのスタンド,立ち飲み
60,金明飯店,中華
61-2,至極の麺 華,ラーメン
62-1,ホルモン焼 おかだ,焼肉・ホルモン
62-2,北京飯店,中華
63-1,cafe&bar for you II,バー
63-2,シャトレーヌ・プラス,喫茶
64,らーめん チョンマゲ 梅田店,ラーメン
65,変わりかつ丼 祭太鼓,定食
67-1,立ち呑み 庶民,立ち飲み
69,フランス風一膳飯屋＆ワイン彩々 いわむら cher Deuxieme,洋食
71,つけ麺専門 虎ノ王,ラーメン
