区画,店名,業種
1,ホリーズカフェ,喫茶
2,四文屋 大阪駅前第3ビル店,焼鳥
3,呑処 はせがわ,居酒屋
6,うどんと酒逢わせ めん次郎,そば・うどん
7,天ぷらとすし酒場みなみなみ,寿司
10,串かつでんがな,串カツ
14,ワインとオマール海老の店 UOMO,洋食
15,鳥すけ,焼鳥
17,花こよみ,居酒屋
18,鉄板のくち,居酒屋
19,アメリカンバー1969,バー
20-1,活魚専門 隆勢丸,海鮮
20-2,スタンド 1969,立ち飲み
21,どんがめ 大阪駅前第三ビル,居酒屋
22,呑処 はせがわ,居酒屋
23,呑処 はせがわ,居酒屋
24,大分からあげと鉄板焼 勝男,居酒屋
25,大衆食堂 うめだホール,定食
26,マキシ亭,居酒屋
27,徳田酒店,立ち飲み
28,餃子の王将,中華
29,ダイヤモンドカリー,カレー
30,大阪トンテキ,定食
31,囲炉裏屋 炭えん,焼鳥
32-1,大衆酒場 天神大ホール,居酒屋
32-2,海藤花,居酒屋
34-1,ジャポニカ,居酒屋
34-2,獄麺,ラーメン
35,インド料理シュリアルナ 第3ビル店,カレー
36,海鮮屋台 新鮮組,海鮮
37,囲炉裏屋 炭えん,焼鳥
39,居酒屋1969,居酒屋
40,IndianRestaurant Gautama,カレー
41,酒場 おか長,居酒屋
45,1969,居酒屋
46,寿司鷹,寿司
47,赤酢 謹賀,寿司
48,花狩人・かとう,居酒屋
50,梅田産直市場,海鮮
51,おでんと鴨蕎麦 居酒屋じんべえ,居酒屋
52-2,麦酒&欧州バル グルメ異人館,バー
53,楠木フサヱ おもや,立ち飲み
54,日本酒 かんき,居酒屋
55,立呑み 晩杯屋 第3ビル,立ち飲み
56,串かつでんがな,串カツ
58,大大阪,居酒屋
59-1,餃子エイト,中華
60,吉野家,定食
61-1,最鳥 第3ビルB1店,焼鳥
61-2,大衆酒場びりちゃん2,居酒屋
63,レストランOKINAWA,その他
64,田楽と季節料理おかじま,和食
65,大衆酒場 五の五,居酒屋
66,徳田酒店 肉食専科,立ち飲み
67,堂山食堂,定食
68,すし酒場 さしす,寿司
69,すし酒場 さしす,寿司
70,松乃家,定食
71,松乃家,定食
73,ホリーズカフェ,喫茶
74-1,フジオコーヒー,喫茶
74-2,立ち呑み いなせや,立ち飲み
75-2,新世界 串カツ いっとく 大阪駅前第3ビル店,串カツ
