区画,店名,業種
1,チャイニーズ酒家 豪華（フーバー）,中華
3-2,肉食系酒場 片岡肉じろう,居酒屋
4,大衆酒場 台所や はなれ,居酒屋
6-1,ちかごろのカレー屋さん カナエ,カレー
6-2,堂山食堂,定食
7-1,大衆串カツ よっとこ,串カツ
8-1,肉汁餃子のダンダダン 大阪駅前第2ビル店,中華
8-2,ひねり蛇口ハイ 大衆酒泉 テルマエ 大阪駅前第2ビル店,居酒屋
8-3,台湾料理 味仙,中華
8-4,海鮮酒場 ナカヒデ,海鮮
11,大衆飯店 十八番,中華
12-2,立呑屋 楠木フサヱ 本店,立ち飲み
13,大衆酒場 台所や,居酒屋
14-1,楠木フサヱ はなれ,立ち飲み
15,大衆居酒屋黒たぬき大阪駅前第2ビルB1店,居酒屋
17-1,めん処 つるつる庵,そば・うどん
18,カフェ・ラ・ネージュ,喫茶
19,ステーキファイブと寿司六,洋食
20,まじめや,居酒屋
21-1,まじめや,居酒屋
28,立呑処 しげ家,立ち飲み
30,インド家庭料理 マハラジャ,カレー
31-2,呑み処 りんご屋 パート1,居酒屋
32,大衆酒場 どんがめ,居酒屋
33,どんがめ まっくす 大阪駅前第2ビル店,居酒屋
35,大富豪,居酒屋
36-2,Bar SECOND FILL,バー
36-3,串カツ わんさか,串カツ
37-1,がってん 大阪駅前第2ビル店,居酒屋
37-3,まきし亭本店,居酒屋
39,がってん 大阪駅前第2ビル店,居酒屋
40,まきし亭本店,居酒屋
41,まきし亭本店,居酒屋
43-1,カフェ＆スタンド エルソル,喫茶
45,大衆焼肉・ホルモン よっとこ,焼肉・ホルモン
46,元祖Mr.鶏っく,焼鳥
47,すし 魚貴,寿司
48-1-1,TAMANE,居酒屋
48-1-2,呑み処 りんご屋 パート2,居酒屋
48-2,555 BOUTIQUE スリーファイブ,バー
48-3-1,居酒屋 味善,居酒屋
50,餃子のかっちゃん,中華
51-1,立食焼肉 一穂 第2ビル店,焼肉・ホルモン
51-2,大衆呑処 サカグラ,立ち飲み
52,鉄板串酒場 しん家,居酒屋
53,梅田大衆酒場 H,居酒屋
54,大衆酒肴スタンド さかば。,立ち飲み
56,大分からあげと鉄板焼き 勝男 B1応援団,居酒屋
57,肴屋 あしか,居酒屋
60,おでんとお蕎麦 居酒屋 じんべえ,居酒屋
